imdbID,Title,Year,Genre,Metascore,imdbRating,studio_type
tt4777008,Maleficent: Mistress of Evil,2019,"Adventure, Drama, Family",43,6.6,major
tt5433140,Fast X,2023,"Action, Adventure, Crime",56,5.7,major
tt0870154,Jungle Cruise,2021,"Action, Adventure, Comedy",50,6.5,major
tt1972591,King Arthur: Legend of the Sword,2017,"Action, Adventure, Drama",41,6.7,major
tt7144666,The Black Phone,2022,"Horror, Mystery, Thriller",65,6.9,major
tt12412888,Sonic the Hedgehog 2,2022,"Action, Adventure, Comedy",47,6.5,major
tt6450804,Terminator: Dark Fate,2019,"Action, Adventure, Sci-Fi",54,6.2,major
tt1213641,First Man,2018,"Biography, Drama, History",84,7.3,major
tt2034800,The Great Wall,2016,"Action, Adventure, Fantasy",42,5.9,major
tt2005151,War Dogs,2016,"Biography, Comedy, Crime",57,7.1,major
tt2848292,Pitch Perfect 2,2015,"Comedy, Music",63,6.4,major
tt4094724,The Purge: Election Year,2016,"Action, Horror, Sci-Fi",55,6.0,major
tt1025100,Gemini Man,2019,"Action, Sci-Fi, Thriller",38,5.7,major
tt4116284,The Lego Batman Movie,2017,"Animation, Action, Adventure",75,7.3,major
tt7959026,The Mule,2018,"Crime, Drama, Thriller",58,7.0,major
tt3393786,Jack Reacher: Never Go Back,2016,"Action, Thriller",47,6.2,major
tt5758778,Skyscraper,2018,"Action, Adventure, Thriller",51,5.8,major
tt5090568,Transformers: Rise of the Beasts,2023,"Action, Adventure, Sci-Fi",42,6.0,major
tt2719848,Everest,2015,"Adventure, Biography, Drama",64,7.1,major
tt1981128,Geostorm,2017,"Action, Sci-Fi, Thriller",21,5.4,major
tt1571234,Mortal Engines,2018,"Action, Adventure, Fantasy",44,6.1,major
tt9603212,Mission: Impossible - Dead Reckoning Part One,2023,"Action, Adventure, Thriller",81,7.6,major
tt4123432,Fantastic Beasts: The Secrets of Dumbledore,2022,"Adventure, Fantasy",47,6.2,major
tt1502407,Halloween,2018,"Crime, Drama, Horror",67,6.5,major
tt0439572,The Flash,2023,"Action, Adventure, Fantasy",55,6.6,major
tt2381991,The Huntsman: Winter's War,2016,"Action, Adventure, Drama",35,6.1,major
tt3532216,American Made,2017,"Action, Comedy, Crime",65,7.1,major
tt2066051,Rocketman,2019,"Biography, Drama, Music",69,7.3,major
tt10954984,Nope,2022,"Horror, Mystery, Sci-Fi",77,6.8,major
tt12037194,Furiosa: A Mad Max Saga,2024,"Action, Adventure, Sci-Fi",79,7.5,major
tt5606664,Doctor Sleep,2019,"Drama, Fantasy, Horror",59,7.3,major
tt10954652,Old,2021,"Drama, Mystery, Thriller",55,5.8,major
tt3640424,Allied,2016,"Action, Drama, Romance",60,7.1,major
tt2906216,Dungeons & Dragons: Honor Among Thieves,2023,"Action, Adventure, Comedy",72,7.2,major
tt4438848,Neighbors 2: Sorority Rising,2016,Comedy,58,5.7,major
